CCAA de estudio;Sexo;Tipo de centro;Habilidades TIC;Total
Castilla - La Mancha;Mujeres;Centro Público;Usuario de nivel básico;368
Castilla - La Mancha;Mujeres;Centro Público;No usuario de las TIC;0
Castilla - La Mancha;Mujeres;Centro Público;No consta;12
Castilla - La Mancha;Mujeres;Centro Privado;Total;234
Castilla - La Mancha;Mujeres;Centro Privado;Usuario experto;15
Castilla - La Mancha;Mujeres;Centro Privado;Usuario de nivel avanzado;123
Castilla - La Mancha;Mujeres;Centro Privado;Usuario de nivel básico;96
Castilla - La Mancha;Mujeres;Centro Privado;No usuario de las TIC;0
Castilla - La Mancha;Mujeres;Centro Privado;No consta;0
Cataluña;Ambos sexos;Total;Total;19.945
Cataluña;Ambos sexos;Total;Usuario experto;4.376
Cataluña;Ambos sexos;Total;Usuario de nivel avanzado;12.465
Cataluña;Ambos sexos;Total;Usuario de nivel básico;2.996
Cataluña;Ambos sexos;Total;No usuario de las TIC;73
Cataluña;Ambos sexos;Total;No consta;35
Cataluña;Ambos sexos;Centro Público;Total;14.003
Cataluña;Ambos sexos;Centro Público;Usuario experto;2.822
Cataluña;Ambos sexos;Centro Público;Usuario de nivel avanzado;9.032
Cataluña;Ambos sexos;Centro Público;Usuario de nivel básico;2.091
Cataluña;Ambos sexos;Centro Público;No usuario de las TIC;23
Cataluña;Ambos sexos;Centro Público;No consta;35
Cataluña;Ambos sexos;Centro Privado;Total;5.942
Cataluña;Ambos sexos;Centro Privado;Usuario experto;1.554
Cataluña;Ambos sexos;Centro Privado;Usuario de nivel avanzado;3.433
Cataluña;Ambos sexos;Centro Privado;Usuario de nivel básico;905
Cataluña;Ambos sexos;Centro Privado;No usuario de las TIC;50
Cataluña;Ambos sexos;Centro Privado;No consta;0
Cataluña;Hombres;Total;Total;9.565
Cataluña;Hombres;Total;Usuario experto;3.241
Cataluña;Hombres;Total;Usuario de nivel avanzado;5.149
Cataluña;Hombres;Total;Usuario de nivel básico;1.067
Cataluña;Hombres;Total;No usuario de las TIC;73
Cataluña;Hombres;Total;No consta;35
Cataluña;Hombres;Centro Público;Total;6.531
Cataluña;Hombres;Centro Público;Usuario experto;2.170
Cataluña;Hombres;Centro Público;Usuario de nivel avanzado;3.501
Cataluña;Hombres;Centro Público;Usuario de nivel básico;802
Cataluña;Hombres;Centro Público;No usuario de las TIC;23
Cataluña;Hombres;Centro Público;No consta;35
Cataluña;Hombres;Centro Privado;Total;3.034
Cataluña;Hombres;Centro Privado;Usuario experto;1.071
Cataluña;Hombres;Centro Privado;Usuario de nivel avanzado;1.648
Cataluña;Hombres;Centro Privado;Usuario de nivel básico;265
Cataluña;Hombres;Centro Privado;No usuario de las TIC;50
Cataluña;Hombres;Centro Privado;No consta;0
Cataluña;Mujeres;Total;Total;10.380
Cataluña;Mujeres;Total;Usuario experto;1.135
Cataluña;Mujeres;Total;Usuario de nivel avanzado;7.316
Cataluña;Mujeres;Total;Usuario de nivel básico;1.929
Cataluña;Mujeres;Total;No usuario de las TIC;0
Cataluña;Mujeres;Total;No consta;0
Cataluña;Mujeres;Centro Público;Total;7.472
Cataluña;Mujeres;Centro Público;Usuario experto;652
Cataluña;Mujeres;Centro Público;Usuario de nivel avanzado;5.530
Cataluña;Mujeres;Centro Público;Usuario de nivel básico;1.289
Cataluña;Mujeres;Centro Público;No usuario de las TIC;0
Cataluña;Mujeres;Centro Público;No consta;0
Cataluña;Mujeres;Centro Privado;Total;2.908
Cataluña;Mujeres;Centro Privado;Usuario experto;483
Cataluña;Mujeres;Centro Privado;Usuario de nivel avanzado;1.785
Cataluña;Mujeres;Centro Privado;Usuario de nivel básico;640
Cataluña;Mujeres;Centro Privado;No usuario de las TIC;0
Cataluña;Mujeres;Centro Privado;No consta;0
Comunitat Valenciana;Ambos sexos;Total;Total;13.940
Comunitat Valenciana;Ambos sexos;Total;Usuario experto;2.378
Comunitat Valenciana;Ambos sexos;Total;Usuario de nivel avanzado;9.059
Comunitat Valenciana;Ambos sexos;Total;Usuario de nivel básico;2.392
Comunitat Valenciana;Ambos sexos;Total;No usuario de las TIC;0
Comunitat Valenciana;Ambos sexos;Total;No consta;111
Comunitat Valenciana;Ambos sexos;Centro Público;Total;10.905
Comunitat Valenciana;Ambos sexos;Centro Público;Usuario experto;1.786
Comunitat Valenciana;Ambos sexos;Centro Público;Usuario de nivel avanzado;7.284
Comunitat Valenciana;Ambos sexos;Centro Público;Usuario de nivel básico;1.724
Comunitat Valenciana;Ambos sexos;Centro Público;No usuario de las TIC;0
Comunitat Valenciana;Ambos sexos;Centro Público;No consta;111
Comunitat Valenciana;Ambos sexos;Centro Privado;Total;3.035
Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario experto;592
Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.775
Comunitat Valenciana;Ambos sexos;Centro Privado;Usuario de nivel básico;669
Comunitat Valenciana;Ambos sexos;Centro Privado;No usuario de las TIC;0
Comunitat Valenciana;Ambos sexos;Centro Privado;No consta;0
Comunitat Valenciana;Hombres;Total;Total;6.495
Comunitat Valenciana;Hombres;Total;Usuario experto;1.793
Comunitat Valenciana;Hombres;Total;Usuario de nivel avanzado;3.771
Comunitat Valenciana;Hombres;Total;Usuario de nivel básico;841
Comunitat Valenciana;Hombres;Total;No usuario de las TIC;0
Comunitat Valenciana;Hombres;Total;No consta;91
Comunitat Valenciana;Hombres;Centro Público;Total;5.254
Comunitat Valenciana;Hombres;Centro Público;Usuario experto;1.384
Comunitat Valenciana;Hombres;Centro Público;Usuario de nivel avanzado;3.055
Comunitat Valenciana;Hombres;Centro Público;Usuario de nivel básico;725
Comunitat Valenciana;Hombres;Centro Público;No usuario de las TIC;0
Comunitat Valenciana;Hombres;Centro Público;No consta;91
Comunitat Valenciana;Hombres;Centro Privado;Total;1.241
Comunitat Valenciana;Hombres;Centro Privado;Usuario experto;409
Comunitat Valenciana;Hombres;Centro Privado;Usuario de nivel avanzado;717
Comunitat Valenciana;Hombres;Centro Privado;Usuario de nivel básico;115
Comunitat Valenciana;Hombres;Centro Privado;No usuario de las TIC;0
Comunitat Valenciana;Hombres;Centro Privado;No consta;0
Comunitat Valenciana;Mujeres;Total;Total;7.445
Comunitat Valenciana;Mujeres;Total;Usuario experto;585
Comunitat Valenciana;Mujeres;Total;Usuario de nivel avanzado;5.287
Comunitat Valenciana;Mujeres;Total;Usuario de nivel básico;1.552
Comunitat Valenciana;Mujeres;Total;No usuario de las TIC;0
Comunitat Valenciana;Mujeres;Total;No consta;21
Comunitat Valenciana;Mujeres;Centro Público;Total;5.651
Comunitat Valenciana;Mujeres;Centro Público;Usuario experto;403
Comunitat Valenciana;Mujeres;Centro Público;Usuario de nivel avanzado;4.229
Comunitat Valenciana;Mujeres;Centro Público;Usuario de nivel básico;998
Comunitat Valenciana;Mujeres;Centro Público;No usuario de las TIC;0
Comunitat Valenciana;Mujeres;Centro Público;No consta;21
Comunitat Valenciana;Mujeres;Centro Privado;Total;1.794
Comunitat Valenciana;Mujeres;Centro Privado;Usuario experto;183
Comunitat Valenciana;Mujeres;Centro Privado;Usuario de nivel avanzado;1.058
Comunitat Valenciana;Mujeres;Centro Privado;Usuario de nivel básico;553
Comunitat Valenciana;Mujeres;Centro Privado;No usuario de las TIC;0
Comunitat Valenciana;Mujeres;Centro Privado;No consta;0
Extremadura;Ambos sexos;Total;Total;2.394
Extremadura;Ambos sexos;Total;Usuario experto;524
Extremadura;Ambos sexos;Total;Usuario de nivel avanzado;1.355
Extremadura;Ambos sexos;Total;Usuario de nivel básico;513
Extremadura;Ambos sexos;Total;No usuario de las TIC;0
Extremadura;Ambos sexos;Total;No consta;1
Extremadura;Ambos sexos;Centro Público;Total;2.141
Extremadura;Ambos sexos;Centro Público;Usuario experto;465
Extremadura;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.219
Extremadura;Ambos sexos;Centro Público;Usuario de nivel básico;457
Extremadura;Ambos sexos;Centro Público;No usuario de las TIC;0
Extremadura;Ambos sexos;Centro Público;No consta;0
Extremadura;Ambos sexos;Centro Privado;Total;253
Extremadura;Ambos sexos;Centro Privado;Usuario experto;59
Extremadura;Ambos sexos;Centro Privado;Usuario de nivel avanzado;136
Extremadura;Ambos sexos;Centro Privado;Usuario de nivel básico;56
Extremadura;Ambos sexos;Centro Privado;No usuario de las TIC;0
Extremadura;Ambos sexos;Centro Privado;No consta;1
Extremadura;Hombres;Total;Total;1.171
Extremadura;Hombres;Total;Usuario experto;393
Extremadura;Hombres;Total;Usuario de nivel avanzado;563
Extremadura;Hombres;Total;Usuario de nivel básico;215
Extremadura;Hombres;Total;No usuario de las TIC;0
Extremadura;Hombres;Total;No consta;0
Extremadura;Hombres;Centro Público;Total;1.060
Extremadura;Hombres;Centro Público;Usuario experto;357
Extremadura;Hombres;Centro Público;Usuario de nivel avanzado;510
Extremadura;Hombres;Centro Público;Usuario de nivel básico;193
Extremadura;Hombres;Centro Público;No usuario de las TIC;0
Extremadura;Hombres;Centro Público;No consta;0
Extremadura;Hombres;Centro Privado;Total;111
Extremadura;Hombres;Centro Privado;Usuario experto;36
Extremadura;Hombres;Centro Privado;Usuario de nivel avanzado;54
Extremadura;Hombres;Centro Privado;Usuario de nivel básico;22
Extremadura;Hombres;Centro Privado;No usuario de las TIC;0
Extremadura;Hombres;Centro Privado;No consta;0
Extremadura;Mujeres;Total;Total;1.223
Extremadura;Mujeres;Total;Usuario experto;132
Extremadura;Mujeres;Total;Usuario de nivel avanzado;792
Extremadura;Mujeres;Total;Usuario de nivel básico;298
Extremadura;Mujeres;Total;No usuario de las TIC;0
Extremadura;Mujeres;Total;No consta;1
Extremadura;Mujeres;Centro Público;Total;1.081
Extremadura;Mujeres;Centro Público;Usuario experto;108
Extremadura;Mujeres;Centro Público;Usuario de nivel avanzado;709
Extremadura;Mujeres;Centro Público;Usuario de nivel básico;263
Extremadura;Mujeres;Centro Público;No usuario de las TIC;0
Extremadura;Mujeres;Centro Público;No consta;0
Extremadura;Mujeres;Centro Privado;Total;142
Extremadura;Mujeres;Centro Privado;Usuario experto;23
Extremadura;Mujeres;Centro Privado;Usuario de nivel avanzado;83
Extremadura;Mujeres;Centro Privado;Usuario de nivel básico;34
Extremadura;Mujeres;Centro Privado;No usuario de las TIC;0
Extremadura;Mujeres;Centro Privado;No consta;1
Galicia;Ambos sexos;Total;Total;6.737
Galicia;Ambos sexos;Total;Usuario experto;1.184
Galicia;Ambos sexos;Total;Usuario de nivel avanzado;4.297
Galicia;Ambos sexos;Total;Usuario de nivel básico;1.228
Galicia;Ambos sexos;Total;No usuario de las TIC;0
Galicia;Ambos sexos;Total;No consta;28
Galicia;Ambos sexos;Centro Público;Total;5.533
Galicia;Ambos sexos;Centro Público;Usuario experto;1.040
Galicia;Ambos sexos;Centro Público;Usuario de nivel avanzado;3.480
Galicia;Ambos sexos;Centro Público;Usuario de nivel básico;999
Galicia;Ambos sexos;Centro Público;No usuario de las TIC;0
Galicia;Ambos sexos;Centro Público;No consta;14
Galicia;Ambos sexos;Centro Privado;Total;1.204
Galicia;Ambos sexos;Centro Privado;Usuario experto;144
Galicia;Ambos sexos;Centro Privado;Usuario de nivel avanzado;817
Galicia;Ambos sexos;Centro Privado;Usuario de nivel básico;229
Galicia;Ambos sexos;Centro Privado;No usuario de las TIC;0
Galicia;Ambos sexos;Centro Privado;No consta;14
Galicia;Hombres;Total;Total;3.217
Galicia;Hombres;Total;Usuario experto;890
Galicia;Hombres;Total;Usuario de nivel avanzado;1.765
Galicia;Hombres;Total;Usuario de nivel básico;541
Galicia;Hombres;Total;No usuario de las TIC;0
Galicia;Hombres;Total;No consta;20
Galicia;Hombres;Centro Público;Total;2.773
Galicia;Hombres;Centro Público;Usuario experto;758
Galicia;Hombres;Centro Público;Usuario de nivel avanzado;1.548
Galicia;Hombres;Centro Público;Usuario de nivel básico;460
Galicia;Hombres;Centro Público;No usuario de las TIC;0
Galicia;Hombres;Centro Público;No consta;6
Galicia;Hombres;Centro Privado;Total;444
Galicia;Hombres;Centro Privado;Usuario experto;132
Galicia;Hombres;Centro Privado;Usuario de nivel avanzado;217
Galicia;Hombres;Centro Privado;Usuario de nivel básico;81
Galicia;Hombres;Centro Privado;No usuario de las TIC;0
Galicia;Hombres;Centro Privado;No consta;14
Galicia;Mujeres;Total;Total;3.520
Galicia;Mujeres;Total;Usuario experto;294
Galicia;Mujeres;Total;Usuario de nivel avanzado;2.532
Galicia;Mujeres;Total;Usuario de nivel básico;687
Galicia;Mujeres;Total;No usuario de las TIC;0
Galicia;Mujeres;Total;No consta;7
Galicia;Mujeres;Centro Público;Total;2.760
Galicia;Mujeres;Centro Público;Usuario experto;282
Galicia;Mujeres;Centro Público;Usuario de nivel avanzado;1.932
Galicia;Mujeres;Centro Público;Usuario de nivel básico;538
Galicia;Mujeres;Centro Público;No usuario de las TIC;0
Galicia;Mujeres;Centro Público;No consta;7
Galicia;Mujeres;Centro Privado;Total;760
Galicia;Mujeres;Centro Privado;Usuario experto;12
Galicia;Mujeres;Centro Privado;Usuario de nivel avanzado;600
Galicia;Mujeres;Centro Privado;Usuario de nivel básico;148
Galicia;Mujeres;Centro Privado;No usuario de las TIC;0
Galicia;Mujeres;Centro Privado;No consta;0
Madrid, Comunidad de;Ambos sexos;Total;Total;14.739
Madrid, Comunidad de;Ambos sexos;Total;Usuario experto;3.667
Madrid, Comunidad de;Ambos sexos;Total;Usuario de nivel avanzado;8.761
Madrid, Comunidad de;Ambos sexos;Total;Usuario de nivel básico;2.267
Madrid, Comunidad de;Ambos sexos;Total;No usuario de las TIC;25
Madrid, Comunidad de;Ambos sexos;Total;No consta;19
Madrid, Comunidad de;Ambos sexos;Centro Público;Total;10.180
Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario experto;2.152
Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario de nivel avanzado;6.309
Madrid, Comunidad de;Ambos sexos;Centro Público;Usuario de nivel básico;1.683
Madrid, Comunidad de;Ambos sexos;Centro Público;No usuario de las TIC;17
Madrid, Comunidad de;Ambos sexos;Centro Público;No consta;19
Madrid, Comunidad de;Ambos sexos;Centro Privado;Total;4.559
Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario experto;1.515
Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.452
Madrid, Comunidad de;Ambos sexos;Centro Privado;Usuario de nivel básico;585
Madrid, Comunidad de;Ambos sexos;Centro Privado;No usuario de las TIC;8
Madrid, Comunidad de;Ambos sexos;Centro Privado;No consta;0
Madrid, Comunidad de;Hombres;Total;Total;7.297
Madrid, Comunidad de;Hombres;Total;Usuario experto;2.782
Madrid, Comunidad de;Hombres;Total;Usuario de nivel avanzado;3.375
Madrid, Comunidad de;Hombres;Total;Usuario de nivel básico;1.101
Madrid, Comunidad de;Hombres;Total;No usuario de las TIC;25
Madrid, Comunidad de;Hombres;Total;No consta;15
Madrid, Comunidad de;Hombres;Centro Público;Total;4.983
Madrid, Comunidad de;Hombres;Centro Público;Usuario experto;1.802
Madrid, Comunidad de;Hombres;Centro Público;Usuario de nivel avanzado;2.375
Madrid, Comunidad de;Hombres;Centro Público;Usuario de nivel básico;774
Madrid, Comunidad de;Hombres;Centro Público;No usuario de las TIC;17
Madrid, Comunidad de;Hombres;Centro Público;No consta;15
Madrid, Comunidad de;Hombres;Centro Privado;Total;2.314
Madrid, Comunidad de;Hombres;Centro Privado;Usuario experto;980
Madrid, Comunidad de;Hombres;Centro Privado;Usuario de nivel avanzado;999
Madrid, Comunidad de;Hombres;Centro Privado;Usuario de nivel básico;328
Madrid, Comunidad de;Hombres;Centro Privado;No usuario de las TIC;8
Madrid, Comunidad de;Hombres;Centro Privado;No consta;0
Madrid, Comunidad de;Mujeres;Total;Total;7.442
Madrid, Comunidad de;Mujeres;Total;Usuario experto;885
Madrid, Comunidad de;Mujeres;Total;Usuario de nivel avanzado;5.387
Madrid, Comunidad de;Mujeres;Total;Usuario de nivel básico;1.166
Madrid, Comunidad de;Mujeres;Total;No usuario de las TIC;0
Madrid, Comunidad de;Mujeres;Total;No consta;4
Madrid, Comunidad de;Mujeres;Centro Público;Total;5.197
Madrid, Comunidad de;Mujeres;Centro Público;Usuario experto;350
Madrid, Comunidad de;Mujeres;Centro Público;Usuario de nivel avanzado;3.934
Madrid, Comunidad de;Mujeres;Centro Público;Usuario de nivel básico;909
Madrid, Comunidad de;Mujeres;Centro Público;No usuario de las TIC;0
Madrid, Comunidad de;Mujeres;Centro Público;No consta;4
Madrid, Comunidad de;Mujeres;Centro Privado;Total;2.245
Madrid, Comunidad de;Mujeres;Centro Privado;Usuario experto;535
Madrid, Comunidad de;Mujeres;Centro Privado;Usuario de nivel avanzado;1.453
Madrid, Comunidad de;Mujeres;Centro Privado;Usuario de nivel básico;257
Madrid, Comunidad de;Mujeres;Centro Privado;No usuario de las TIC;0
Madrid, Comunidad de;Mujeres;Centro Privado;No consta;0
Murcia, Región de;Ambos sexos;Total;Total;3.342
Murcia, Región de;Ambos sexos;Total;Usuario experto;692
Murcia, Región de;Ambos sexos;Total;Usuario de nivel avanzado;1.910
Murcia, Región de;Ambos sexos;Total;Usuario de nivel básico;729
Murcia, Región de;Ambos sexos;Total;No usuario de las TIC;0
Murcia, Región de;Ambos sexos;Total;No consta;11
Murcia, Región de;Ambos sexos;Centro Público;Total;2.785
Murcia, Región de;Ambos sexos;Centro Público;Usuario experto;600
Murcia, Región de;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.637
Murcia, Región de;Ambos sexos;Centro Público;Usuario de nivel básico;548
Murcia, Región de;Ambos sexos;Centro Público;No usuario de las TIC;0
Murcia, Región de;Ambos sexos;Centro Público;No consta;0
Murcia, Región de;Ambos sexos;Centro Privado;Total;557
Murcia, Región de;Ambos sexos;Centro Privado;Usuario experto;93
Murcia, Región de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;273
Murcia, Región de;Ambos sexos;Centro Privado;Usuario de nivel básico;181
Murcia, Región de;Ambos sexos;Centro Privado;No usuario de las TIC;0
Murcia, Región de;Ambos sexos;Centro Privado;No consta;11
Murcia, Región de;Hombres;Total;Total;1.637
Murcia, Región de;Hombres;Total;Usuario experto;551
Murcia, Región de;Hombres;Total;Usuario de nivel avanzado;780
Murcia, Región de;Hombres;Total;Usuario de nivel básico;296
Murcia, Región de;Hombres;Total;No usuario de las TIC;0
Murcia, Región de;Hombres;Total;No consta;11
Murcia, Región de;Hombres;Centro Público;Total;1.423
Murcia, Región de;Hombres;Centro Público;Usuario experto;493
Murcia, Región de;Hombres;Centro Público;Usuario de nivel avanzado;675
Murcia, Región de;Hombres;Centro Público;Usuario de nivel básico;254
Murcia, Región de;Hombres;Centro Público;No usuario de las TIC;0
Murcia, Región de;Hombres;Centro Público;No consta;0
Murcia, Región de;Hombres;Centro Privado;Total;214
Murcia, Región de;Hombres;Centro Privado;Usuario experto;58
Murcia, Región de;Hombres;Centro Privado;Usuario de nivel avanzado;105
Murcia, Región de;Hombres;Centro Privado;Usuario de nivel básico;41
Murcia, Región de;Hombres;Centro Privado;No usuario de las TIC;0
Murcia, Región de;Hombres;Centro Privado;No consta;11
Murcia, Región de;Mujeres;Total;Total;1.705
Murcia, Región de;Mujeres;Total;Usuario experto;141
Murcia, Región de;Mujeres;Total;Usuario de nivel avanzado;1.130
Murcia, Región de;Mujeres;Total;Usuario de nivel básico;434
Murcia, Región de;Mujeres;Total;No usuario de las TIC;0
Murcia, Región de;Mujeres;Total;No consta;0
Murcia, Región de;Mujeres;Centro Público;Total;1.362
Murcia, Región de;Mujeres;Centro Público;Usuario experto;106
Murcia, Región de;Mujeres;Centro Público;Usuario de nivel avanzado;962
Murcia, Región de;Mujeres;Centro Público;Usuario de nivel básico;294
Murcia, Región de;Mujeres;Centro Público;No usuario de las TIC;0
Murcia, Región de;Mujeres;Centro Público;No consta;0
Murcia, Región de;Mujeres;Centro Privado;Total;343
Murcia, Región de;Mujeres;Centro Privado;Usuario experto;35
Murcia, Región de;Mujeres;Centro Privado;Usuario de nivel avanzado;168
Murcia, Región de;Mujeres;Centro Privado;Usuario de nivel básico;140
Murcia, Región de;Mujeres;Centro Privado;No usuario de las TIC;0
Murcia, Región de;Mujeres;Centro Privado;No consta;0
Navarra, Comunidad Foral de;Ambos sexos;Total;Total;1.466
Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario experto;288
Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario de nivel avanzado;815
Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario de nivel básico;361
Navarra, Comunidad Foral de;Ambos sexos;Total;No usuario de las TIC;3
Navarra, Comunidad Foral de;Ambos sexos;Total;No consta;0
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Total;1.116
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario experto;199
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario de nivel avanzado;599
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario de nivel básico;318
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;No usuario de las TIC;0
Navarra, Comunidad Foral de;Ambos sexos;Centro Público;No consta;0
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Total;350
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario experto;89
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;216
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario de nivel básico;42
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;No usuario de las TIC;3
Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;No consta;0
Navarra, Comunidad Foral de;Hombres;Total;Total;838
Navarra, Comunidad Foral de;Hombres;Total;Usuario experto;201
Navarra, Comunidad Foral de;Hombres;Total;Usuario de nivel avanzado;437
Navarra, Comunidad Foral de;Hombres;Total;Usuario de nivel básico;197
Navarra, Comunidad Foral de;Hombres;Total;No usuario de las TIC;3
Navarra, Comunidad Foral de;Hombres;Total;No consta;0
Navarra, Comunidad Foral de;Hombres;Centro Público;Total;639
Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario experto;142
Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario de nivel avanzado;321
Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario de nivel básico;176
Navarra, Comunidad Foral de;Hombres;Centro Público;No usuario de las TIC;0
Navarra, Comunidad Foral de;Hombres;Centro Público;No consta;0
Navarra, Comunidad Foral de;Hombres;Centro Privado;Total;199
Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario experto;59
Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario de nivel avanzado;116
Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario de nivel básico;21
Navarra, Comunidad Foral de;Hombres;Centro Privado;No usuario de las TIC;3
Navarra, Comunidad Foral de;Hombres;Centro Privado;No consta;0
Navarra, Comunidad Foral de;Mujeres;Total;Total;628
Navarra, Comunidad Foral de;Mujeres;Total;Usuario experto;87
Navarra, Comunidad Foral de;Mujeres;Total;Usuario de nivel avanzado;378
Navarra, Comunidad Foral de;Mujeres;Total;Usuario de nivel básico;163
Navarra, Comunidad Foral de;Mujeres;Total;No usuario de las TIC;0
Navarra, Comunidad Foral de;Mujeres;Total;No consta;0
Navarra, Comunidad Foral de;Mujeres;Centro Público;Total;477
Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario experto;57
Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario de nivel avanzado;278
Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario de nivel básico;143
Navarra, Comunidad Foral de;Mujeres;Centro Público;No usuario de las TIC;0
Navarra, Comunidad Foral de;Mujeres;Centro Público;No consta;0
Navarra, Comunidad Foral de;Mujeres;Centro Privado;Total;151
Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario experto;30
Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario de nivel avanzado;100
Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario de nivel básico;21
Navarra, Comunidad Foral de;Mujeres;Centro Privado;No usuario de las TIC;0
Navarra, Comunidad Foral de;Mujeres;Centro Privado;No consta;0
País Vasco;Ambos sexos;Total;Total;6.995
País Vasco;Ambos sexos;Total;Usuario experto;1.305
País Vasco;Ambos sexos;Total;Usuario de nivel avanzado;4.259
País Vasco;Ambos sexos;Total;Usuario de nivel básico;1.349
País Vasco;Ambos sexos;Total;No usuario de las TIC;44
País Vasco;Ambos sexos;Total;No consta;38
País Vasco;Ambos sexos;Centro Público;Total;3.630
País Vasco;Ambos sexos;Centro Público;Usuario experto;707
País Vasco;Ambos sexos;Centro Público;Usuario de nivel avanzado;2.014
País Vasco;Ambos sexos;Centro Público;Usuario de nivel básico;859
País Vasco;Ambos sexos;Centro Público;No usuario de las TIC;12
País Vasco;Ambos sexos;Centro Público;No consta;38
País Vasco;Ambos sexos;Centro Privado;Total;3.365
País Vasco;Ambos sexos;Centro Privado;Usuario experto;598
País Vasco;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.245
País Vasco;Ambos sexos;Centro Privado;Usuario de nivel básico;489
País Vasco;Ambos sexos;Centro Privado;No usuario de las TIC;32
País Vasco;Ambos sexos;Centro Privado;No consta;0
País Vasco;Hombres;Total;Total;4.087
País Vasco;Hombres;Total;Usuario experto;1.001
País Vasco;Hombres;Total;Usuario de nivel avanzado;2.301
País Vasco;Hombres;Total;Usuario de nivel básico;708
País Vasco;Hombres;Total;No usuario de las TIC;44
País Vasco;Hombres;Total;No consta;33
País Vasco;Hombres;Centro Público;Total;2.165
País Vasco;Hombres;Centro Público;Usuario experto;516
País Vasco;Hombres;Centro Público;Usuario de nivel avanzado;1.110
País Vasco;Hombres;Centro Público;Usuario de nivel básico;495
País Vasco;Hombres;Centro Público;No usuario de las TIC;12
País Vasco;Hombres;Centro Público;No consta;33
País Vasco;Hombres;Centro Privado;Total;1.922
País Vasco;Hombres;Centro Privado;Usuario experto;485
País Vasco;Hombres;Centro Privado;Usuario de nivel avanzado;1.191
País Vasco;Hombres;Centro Privado;Usuario de nivel básico;213
País Vasco;Hombres;Centro Privado;No usuario de las TIC;32
País Vasco;Hombres;Centro Privado;No consta;0
País Vasco;Mujeres;Total;Total;2.908
País Vasco;Mujeres;Total;Usuario experto;304
País Vasco;Mujeres;Total;Usuario de nivel avanzado;1.958
País Vasco;Mujeres;Total;Usuario de nivel básico;640
País Vasco;Mujeres;Total;No usuario de las TIC;0
País Vasco;Mujeres;Total;No consta;5
País Vasco;Mujeres;Centro Público;Total;1.465
País Vasco;Mujeres;Centro Público;Usuario experto;191
País Vasco;Mujeres;Centro Público;Usuario de nivel avanzado;904
País Vasco;Mujeres;Centro Público;Usuario de nivel básico;364
País Vasco;Mujeres;Centro Público;No usuario de las TIC;0
País Vasco;Mujeres;Centro Público;No consta;5
País Vasco;Mujeres;Centro Privado;Total;1.443
País Vasco;Mujeres;Centro Privado;Usuario experto;113
País Vasco;Mujeres;Centro Privado;Usuario de nivel avanzado;1.054
País Vasco;Mujeres;Centro Privado;Usuario de nivel básico;276
País Vasco;Mujeres;Centro Privado;No usuario de las TIC;0
País Vasco;Mujeres;Centro Privado;No consta;0
Rioja, La;Ambos sexos;Total;Total;761
Rioja, La;Ambos sexos;Total;Usuario experto;182
Rioja, La;Ambos sexos;Total;Usuario de nivel avanzado;496
Rioja, La;Ambos sexos;Total;Usuario de nivel básico;80
Rioja, La;Ambos sexos;Total;No usuario de las TIC;3
Rioja, La;Ambos sexos;Total;No consta;0
Rioja, La;Ambos sexos;Centro Público;Total;657
Rioja, La;Ambos sexos;Centro Público;Usuario experto;170
